timestamp,strategy,kalshi_side,pm_side,volume_scaled,profit_scaled,allocations
1785811693.9447155,Kalshi YES / PM NO,yes,no,400,130,130@K15/P82|270@K15/P83
1785813882.1334627,Kalshi YES / PM NO,yes,no,407,718,30@K19/P75|30@K19/P76|347@K19/P77
1785816500.854141,Kalshi NO / PM YES,no,yes,410,1060,410@K55/P39
1785819514.9232397,Kalshi NO / PM YES,no,yes,401,102,401@K85/P13
1785821174.0715268,Kalshi YES / PM NO,yes,no,399,97,399@K30/P67
1785821222.256151,Kalshi YES / PM NO,yes,no,401,103,401@K25/P72
1785821414.0129023,Kalshi NO / PM YES,no,yes,402,308,402@K46/P50
1785821671.0007925,Kalshi YES / PM NO,yes,no,347,94,347@K13/P85
1785821690.9597757,Kalshi YES / PM NO,yes,no,54,8,54@K12/P86
1785821861.839115,Kalshi YES / PM NO,yes,no,246,46,246@K5/P94
1785825620.3227005,Kalshi YES / PM NO,yes,no,412,1248,412@K7/P89
1785828743.0303853,Kalshi NO / PM YES,no,yes,403,312,403@K45/P51
1785829237.026479,Kalshi YES / PM NO,yes,no,419,2052,419@K38/P54
1785835522.0700052,Kalshi NO / PM YES,no,yes,401,102,401@K85/P13
1785836580.5542238,Kalshi YES / PM NO,yes,no,155,110,155@K7/P91
