timestamp,pair_id,strategy,k_price,p_price,intended_qty,theoretical_profit,k_fill_qty,k_fill_time_ms,k_status_code,p_fill_qty,p_fill_time_ms,p_status_code,outcome,unwind_action,unwind_pnl,net_realized_pnl
2026-06-23T03:11:30.036669Z,BOXOFFICE-26-AVATAR3-GT-2B,Kalshi YES / PM NO,51,24,151,16859,151,71,200,151,67,200,success,none,0,16859
2026-06-23T04:00:29.899976Z,KXHIGHMIA-26JUN23-B94.5,Kalshi YES / PM NO,37,60,25,3913,0,144,429,0,78,500,failed_no_fill,none,0,0
2026-06-23T04:20:48.692658Z,BOXOFFICE-26-AVATAR3-GT-2B,Kalshi NO / PM YES,49,36,105,11095,105,98,200,105,165,200,success,none,0,11095
2026-06-23T06:03:22.472577Z,HEAT-26-TX-JUN-RECORD,Kalshi NO / PM YES,42,54,122,16273,122,93,200,122,82,200,success,none,0,16273
2026-06-23T06:07:42.553810Z,ELEC-26-HOUSE-DEM-MAJ,Kalshi NO / PM YES,46,41,23,2465,23,33,200,23,69,200,success,none,0,2465
2026-06-23T06:37:05.267496Z,AAPL-26-VISION-PRO-SALES-GT-1M,Kalshi YES / PM NO,39,33,167,23157,167,135,200,0,95,429,leg_failed_unwind,market_sell_kalshi,-3133,-3133
2026-06-23T06:37:37.267905Z,ETH-26-ETF-APPROVAL-Q2,Kalshi NO / PM YES,27,30,127,13674,127,81,200,127,52,200,success,none,0,13674
2026-06-23T06:38:45.734712Z,BTC-26-100K-EOY,Kalshi NO / PM YES,47,21,120,23303,0,107,200,0,40,200,failed_no_fill,none,0,0
2026-06-23T06:53:12.827745Z,TSLA-26-ROBOTAXI-LAUNCH,Kalshi NO / PM YES,32,62,13,2580,13,81,200,13,191,200,success,none,0,2580
2026-06-23T08:32:36.600474Z,HEAT-26-TX-JUN-RECORD,Kalshi NO / PM YES,40,49,72,10084,0,93,429,0,138,500,failed_no_fill,none,0,0
2026-06-23T10:04:36.771846Z,OSCARS-26-BEST-PICTURE-NOLAN,Kalshi YES / PM NO,58,40,103,17325,103,53,200,103,98,200,success,none,0,17325
2026-06-23T11:14:35.539630Z,UNEMP-26-JUN-LT-4.0,Kalshi YES / PM NO,39,28,43,5396,43,130,200,4,188,200,partial_unwind,market_sell_kalshi,-844,-342
2026-06-23T11:14:43.901613Z,KXHIGHLAX-26JUN23-T71,Kalshi NO / PM YES,50,29,33,5333,0,125,429,0,108,429,failed_no_fill,none,0,0
2026-06-23T12:30:47.550814Z,CPI-26-JUN-LT-3.0,Kalshi YES / PM NO,47,48,154,23311,154,107,200,154,99,200,success,none,0,23311
2026-06-23T12:42:06.679829Z,KXHIGHCHI-26JUN23-T79,Kalshi YES / PM NO,33,27,25,4794,0,96,429,0,56,500,failed_no_fill,none,0,0
2026-06-23T12:42:18.950308Z,AAPL-26-VISION-PRO-SALES-GT-1M,Kalshi YES / PM NO,58,34,79,9727,0,131,429,0,138,500,failed_no_fill,none,0,0
2026-06-23T13:13:19.431423Z,KXHIGHTSFO-26JUN23-T71,Kalshi YES / PM NO,36,32,83,8978,83,97,200,83,59,200,success,none,0,8978
2026-06-23T14:12:53.715716Z,FED-26-RATES-NO-HIKE-JUN,Kalshi YES / PM NO,56,32,120,16512,120,126,200,120,199,200,success,none,0,16512
2026-06-23T14:30:19.971673Z,ELEC-26-SENATE-GOP-MAJ,Kalshi NO / PM YES,26,69,139,19567,139,32,200,139,174,200,success,none,0,19567
2026-06-23T14:31:02.370566Z,UNEMP-26-JUN-LT-4.0,Kalshi YES / PM NO,30,35,36,6420,36,53,200,36,93,200,success,none,0,6420
2026-06-23T15:01:38.215806Z,KXHIGHLAX-26JUN23-T71,Kalshi YES / PM NO,54,25,94,10260,94,74,200,94,184,200,success,none,0,10260
2026-06-23T17:26:39.831842Z,KXHIGHLAX-26JUN23-T71,Kalshi YES / PM NO,34,60,87,17214,87,84,200,87,54,200,success,none,0,17214
2026-06-23T17:30:33.571914Z,BOXOFFICE-26-AVATAR3-GT-2B,Kalshi NO / PM YES,39,57,58,10250,58,48,200,58,132,200,success,none,0,10250
2026-06-23T18:02:33.359101Z,KXHIGHLAX-26JUN23-T71,Kalshi NO / PM YES,33,43,166,25546,166,59,200,166,82,200,success,none,0,25546
2026-06-23T18:17:33.526815Z,ELEC-26-HOUSE-DEM-MAJ,Kalshi NO / PM YES,21,21,33,3850,33,55,200,0,118,500,leg_failed_unwind,market_sell_kalshi,-1193,-1193
2026-06-23T18:42:08.744828Z,NBA-26-CHAMPS-BOS,Kalshi NO / PM YES,26,56,73,12496,0,126,500,0,119,500,failed_no_fill,none,0,0
2026-06-23T19:08:09.520595Z,SPACE-26-STARSHIP-ORBIT,Kalshi NO / PM YES,38,22,41,7257,0,95,429,0,184,429,failed_no_fill,none,0,0
2026-06-23T21:24:48.301497Z,HURRICANE-26-CAT5-FL,Kalshi NO / PM YES,44,32,60,6228,0,75,429,0,69,429,failed_no_fill,none,0,0
2026-06-23T22:00:02.745335Z,CPI-26-JUN-GT-3.2,Kalshi NO / PM YES,45,25,42,4455,0,99,500,0,145,500,failed_no_fill,none,0,0
2026-06-23T22:13:17.938199Z,FDA-26-CRISPR-APPROVAL-SICKLE,Kalshi NO / PM YES,32,22,77,9057,77,105,200,77,196,200,success,none,0,9057
